Name,Category,Latitude,Longitude,Victims
St Albans West.,Area Unit,-43.514774507,172.628555063,127
St Albans East.,Area Unit,-43.512951066,172.636272549,234
Springvale West.,Area Unit,-39.927633803,175.018869678,15
Springvale East.,Area Unit,-39.922711178,175.027996022,16
Springston.,Area Unit,-43.714753875,172.471945198,53
Springs Flat.,Area Unit,-35.662675251,174.315221412,50
Springleigh.,Area Unit,-36.888108331,174.704361893,211
Springlands.,Area Unit,-41.511143234,173.938801679,121
Springfield.,Area Unit,-38.159720526,176.228650134,108
Springdale.,Area Unit,-37.528056498,175.576775033,64
Spring Creek-Grovetown.,Area Unit,-41.501692880,174.000028733,46
Spriggens Park.,Area Unit,-39.939616995,175.044558142,77
Spreydon.,Area Unit,-43.550790639,172.619672884,295
Spotswood.,Area Unit,-39.073653155,174.033142672,88
Southbrook.,Area Unit,-43.326512832,172.597902467,75
Southbridge.,Area Unit,-43.813696468,172.252650052,11
South Waiuku.,Area Unit,-37.259623664,174.738975079,15
South Head.,Area Unit,-36.596221277,174.351397356,38
South Gore.,Area Unit,-46.109464324,168.944392910,18
South Dunedin.,Area Unit,-45.896981800,170.500472231,170
South Brighton.,Area Unit,-43.538862120,172.738820394,104
South Beach-Camerons.,Area Unit,-42.523205567,171.164093489,20
Somerfield.,Area Unit,-43.561597497,172.631435437,103
Solway South.,Area Unit,-40.964434695,175.637356931,61
Solway North.,Area Unit,-40.958330798,175.631834924,72
Sockburn.,Area Unit,-43.534152942,172.556281313,407
Snells Beach.,Area Unit,-36.414363982,174.718836964,90
Silverstream.,Area Unit,-43.377102836,172.639755901,34
Silverdale.,Area Unit,-37.790908447,175.331644533,83
Silverdale South.,Area Unit,-36.636991325,174.708196195,15
Silverdale North.,Area Unit,-36.578485504,174.666442537,40
Silverdale Central.,Area Unit,-36.606067258,174.673243518,348
Shirley West.,Area Unit,-43.499591990,172.649899439,208
Shirley East.,Area Unit,-43.500790937,172.661072606,535
Sherwood Rise.,Area Unit,-35.752031389,174.368649186,101
Sherenden-Puketapu.,Area Unit,-39.474589345,176.641329922,35
Sherbourne.,Area Unit,-36.875687702,174.758317737,211
Shelly Park.,Area Unit,-36.909990774,174.948711319,17
Shannon.,Area Unit,-40.546802782,175.406522796,45
Selwyn-Rakaia.,Area Unit,-43.756000612,172.222138372,81
Selwyn Heights.,Area Unit,-38.119416319,176.213258254,49
Sefton.,Area Unit,-43.262331655,172.693765319,12
Seddon.,Area Unit,-41.669097351,174.071750885,9
Seaview.,Area Unit,-44.391756578,171.256861790,228
Seatoun.,Area Unit,-41.330220608,174.829581850,35
Seatoun Tunnel West.,Area Unit,-41.323240251,174.822745274,8
Seacliffe.,Area Unit,-36.805975863,174.787042302,62
